ref	query
chr1	chr1_hap2_hsa1
chr2	chr12_hap2_hsa2a,chr13_hap2_hsa2b
chr3	chr2_hap2_hsa3
chr4	chr3_hap2_hsa4
chr5	chr4_hap2_hsa5
chr6	chr5_hap2_hsa6
chr7	chr6_hap2_hsa7
chr8	chr7_hap2_hsa8
chr9	chr11_hap2_hsa9
chr10	chr8_hap2_hsa10
chr11	chr9_hap2_hsa11
chr12	chr10_hap2_hsa12
chr13	chr14_hap2_hsa13
chr14	chr15_hap2_hsa14
chr15	chr16_hap2_hsa15
chr16	chr18_hap2_hsa16
chr17	chr19_hap2_hsa17
chr18	chr17_hap2_hsa18
chr19	chr20_hap2_hsa19
chr20	chr21_hap2_hsa20
chr21	chr22_hap2_hsa21
chr22	chr23_hap2_hsa22
chrX	chrX_hap1_hsaX
chrY	chrY_hap2_hsaY
